family	file	source	licence	tier	required	size_kb	sha256	note
Noto Mono	fonts-noto-mono	debian trixie: fonts-noto-mono	OFL 1.1	C	recommended	1126	-	
Noto Sans * UI	fonts-noto-ui-core	debian trixie: fonts-noto-ui-core	OFL 1.1	C	optional	5018	-	
Noto Sans/Serif CJK	fonts-noto-cjk	debian trixie: fonts-noto-cjk	OFL 1.1	C	optional	91238	-	
Noto extra weights and rare scripts	fonts-noto-extra	debian trixie: fonts-noto-extra	OFL 1.1	C	optional	334234	-	not recommended: size
Latin Modern (TeX)	fonts-lmodern	debian trixie: fonts-lmodern	GUST	C	optional	10752	-	LaTeX-made PDFs
STIX (v1)	fonts-stix	debian trixie: fonts-stix	OFL 1.1	C	optional	2765	-	
Symbola	fonts-symbola	debian trixie: fonts-symbola	free use	C	optional	3072	-	
Amiri (Arabic)	fonts-hosny-amiri	debian trixie: fonts-hosny-amiri	OFL 1.1	C	optional	2765	-	
Scheherazade New (Arabic)	fonts-sil-scheherazade	debian trixie: fonts-sil-scheherazade	OFL 1.1	C	optional	1843	-	
FreeSans/FreeSerif/FreeMono	fonts-freefont-ttf	debian trixie: fonts-freefont-ttf	GPL 3 + font exception	C	optional	14438	-	
